,Citation,Auteur
,Est-ce que travailler plus pour consommer toujours plus va rendre l’être humain plus épanoui ?,Jacques Robin
,La technique travaille à une pénurie de l’être.,Heiddeger
,"La volonté de s'accomplir coût que coûte dans son travail peut avoir des effets pervers. Ainsi l'aliénation peut-elle naître d'une confiance trop naïve dans les puissances bienfaisantes du labeur, conduisant à en espérer davantage qu'il ne peut apporter.",Pascal Chabot
,"Si tu as envie de travailler, assieds-toi et attends que ça passe",Proverbe corse
,Le travail est l’opium du peuple… Je ne veux pas mourir drogué,Boris VIAN
,"En napolitain, le mot travailler n’existe pas. On dit fatigare",Roberto ROSSELLINI
,"Travail, famille, patrie",Devise du régime de Vichy
,Abolition du travail aliéné,Guy DEBORD
,"Dès qu'il n'existe pas de contrainte physique ou autre, le travail est fui comme la peste",Karl MARX
,Quand la fortune nous décharge du travail elle nous accable du temps.,Pierre-Claude-Victor Boiste
,Le salaire est au travail ce que la chaleur est à l'eau.,Émile de Girardin
,La vie n’est pas le travail : travailler sans cesse rend fou. ,Charles DE GAULLE
,"Rien ne sert d’être vivant, s’il faut que l’on travaille.",André BRETON
,L'Homme est un être de désir. Le travail ne peut qu'assouvir des besoins. Rares sont les privilégiés qui réussissent à satisfaire les seconds en répondant au premier. Ceux-là ne travaillent jamais.,Henri LABORIT : Éloge de la fuite.
,L’amour du travail bien fait et le goût de la promotion dans le travail sont aujourd’hui la marque indélébile de la veulerie et de la soumission la plus stupide.,Raul VANEIGEM
,L’organisation du travail et l’organisation des loisirs referment les ciseaux castrateurs chargés d’améliorer la race des chiens soumis.,Raul VANEIGEM
,"Se rendre à un travail, c’est se constituer prisonnier.",Anonyme
,"On dit qu’il y a trois millions de personnes qui veulent du travail. C’est pas vrai, de l’argent leur suffirait.",Coluche
,«Arbeit macht frei » (Le travail rend libre),Inscription à l’entrée des camps nazis
,"Quand le travailleur s'endort il est bercé
par l'insomnie
et quand son réveil le réveille
il trouve chaque jour devant son lit
la sale gueule du travail
qui ricane qui se fout de lui",Jacques Prévert
,"Le travail est probablement ce qu'il y a sur cette terre de plus bas et de plus ignoble. Il n'est pas possible de regarder un travailleur sans maudire ce qui a fait que cet homme travaille, alors qu'il pourrait nager, dormir dans l'herbe ou simplement lire ou faire l'amour avec sa femme.",Boris VIAN
,Jamais nous ne travaillerons.,Arthur RIMBAUD